#;Company;Symbol;Portfolio%;Price;Chg;% Chg
254;Public Service Enterprise Group Incorporated;PEG;0.08%;60.65;0.30;(0.50%)
255;Ingersoll Rand Inc.;IR;0.08%;76.48;0.68;(0.90%)
256;Martin Marietta Materials;MLM;0.08%;496.38;3.90;(0.79%)
257;Cdw Corporation;CDW;0.08%;226.63;1.53;(0.68%)
258;Ge Healthcare Technologies Inc.;GEHC;0.07%;77.58;0.39;(0.51%)
259;Vulcan Materials Company;VMC;0.07%;224.93;1.65;(0.74%)
260;The Kroger Co.;KR;0.07%;45.14;0.12;(0.27%)
261;Monolithic Power Systems, Inc.;MPWR;0.07%;617.64;-4.08;(-0.66%)
262;Equifax, Incorporated;EFX;0.07%;243.88;1.67;(0.69%)
263;Devon Energy Corporation;DVN;0.07%;45.81;-0.04;(-0.09%)
264;Fair Isaac Corporation;FICO;0.07%;1,168.88;3.42;(0.29%)
265;Moderna, Inc.;MRNA;0.07%;94.89;3.73;(4.09%)
266;Royal Caribbean Group;RCL;0.07%;128.21;1.09;(0.86%)
267;The Kraft Heinz Company;KHC;0.07%;36.36;0.40;(1.11%)
268;Dollar General Corp.;DG;0.07%;132.21;2.12;(1.63%)
269;Dollar Tree Inc.;DLTR;0.07%;136.56;2.23;(1.66%)
270;Diamondback Energy, Inc.;FANG;0.07%;156.39;0.13;(0.08%)
271;Keysight Technologies, Inc.;KEYS;0.07%;159.21;0.38;(0.24%)
272;Cbre Group, Inc.;CBRE;0.07%;91.95;0.44;(0.48%)
273;Arch Capital Group Ltd;ACGL;0.07%;73.84;-0.32;(-0.43%)
274;The Hershey Company;HSY;0.07%;182.52;1.52;(0.84%)
275;Discover Financial Services;DFS;0.07%;110.99;-0.17;(-0.15%)
276;Sba Communications Corp;SBAC;0.07%;251.43;-0.38;(-0.15%)
277;Edison International;EIX;0.07%;69.48;0.61;(0.89%)
278;Xylem Inc;XYL;0.07%;112.64;0.95;(0.85%)
279;Avalonbay Communities, Inc.;AVB;0.07%;187.29;0.64;(0.34%)
280;Delta Air Lines, Inc.;DAL;0.07%;41.13;0.01;(0.02%)
281;Warner Bros. Discovery, Inc. Series a;WBD;0.07%;11.27;-0.22;(-1.91%)
282;West Pharmaceutical Services, Inc.;WST;0.07%;354.93;1.17;(0.33%)
283;Wec Energy Group, Inc.;WEC;0.07%;82.94;0.59;(0.72%)
284;Hp Inc.;HPQ;0.07%;30.18;0.04;(0.13%)
285;Ansys Inc;ANSS;0.07%;357.98;54.82;(18.08%)
286;Mettler-Toledo International;MTD;0.07%;1,213.80;4.70;(0.39%)
287;Resmed Inc.;RMD;0.06%;171.40;-3.41;(-1.95%)
288;American Water Works Company, Inc;AWK;0.06%;131.56;0.06;(0.05%)
289;Fortive Corporation;FTV;0.06%;72.89;0.31;(0.43%)
290;Zimmer Biomet Holdings, Inc.;ZBH;0.06%;120.56;0.91;(0.76%)
291;Take-Two Interactive Software Inc;TTWO;0.06%;161.95;1.56;(0.97%)
292;Weyerhaeuser Company;WY;0.06%;34.36;0.25;(0.73%)
293;Aptiv Plc;APTV;0.06%;89.02;-0.05;(-0.06%)
294;Cardinal Health, Inc.;CAH;0.06%;101.33;0.09;(0.09%)
295;Lyondellbasell Industries N.v. Class A;LYB;0.06%;96.06;-0.38;(-0.39%)
296;Willis Towers Watson Public Limited Companys;WTW;0.06%;240.09;1.74;(0.73%)
297;The Hartford Financial Services Group, Inc.;HIG;0.06%;79.57;0.50;(0.63%)
298;T Rowe Price Group Inc;TROW;0.06%;107.89;1.00;(0.94%)
299;Ulta Beauty, Inc.;ULTA;0.06%;471.36;-6.11;(-1.28%)
300;State Street Corporation;STT;0.06%;77.19;0.18;(0.23%)
301;Fifth Third Bancorp;FITB;0.06%;34.47;0.07;(0.20%)
302;Broadridge Financial Solutions Inc;BR;0.06%;199.67;3.31;(1.69%)
303;Corning Incorporated;GLW;0.06%;30.23;0.05;(0.17%)
304;Tractor Supply Co;TSCO;0.06%;211.92;0.22;(0.10%)
305;Dte Energy Company;DTE;0.06%;109.62;-0.12;(-0.11%)
306;Wabtec Inc.;WAB;0.06%;126.61;0.14;(0.11%)
307;Church & Dwight Co., Inc.;CHD;0.06%;91.90;0.11;(0.12%)
308;Ebay Inc;EBAY;0.06%;43.82;0.09;(0.21%)
309;M&t Bank Corp.;MTB;0.06%;136.52;0.31;(0.23%)
310;Pultegroup, Inc.;PHM;0.06%;102.43;0.00;(0.00%)
311;Nvr, Inc.;NVR;0.06%;6,980.17;40.19;(0.58%)
312;Illumina Inc;ILMN;0.05%;140.00;-0.23;(-0.16%)
313;Hewlett Packard Enterprise Company;HPE;0.05%;17.09;0.09;(0.53%)
314;Steris Plc;STE;0.05%;219.79;1.36;(0.62%)
315;Eversource Energy;ES;0.05%;61.08;0.17;(0.28%)
